"","Year","Month","Day","Open","High","Low","Close","AdjClose","Volume","TRain"
"158","2019","08","16",25678.169922,25929.650391,25678.169922,25886.009766,25886.009766,276210000,3509
"159","2019","08","19",26020.060547,26222.320313,26020.060547,26135.789063,26135.789063,252640000,2966
"160","2019","08","20",26086.859375,26160.119141,25952,25962.439453,25962.439453,238100000,2321
"161","2019","08","21",26145.359375,26268.320313,26141.769531,26202.730469,26202.730469,208790000,2380
"162","2019","08","22",26271.640625,26388.779297,26099.009766,26252.240234,26252.240234,222810000,2929
"163","2019","08","23",26134.210938,26320.289063,25507.179688,25628.900391,25628.900391,364260000,5171
"164","2019","08","26",25826.050781,25941.25,25716.390625,25898.830078,25898.830078,222780000,7698
"165","2019","08","27",26014.460938,26054.019531,25721.849609,25777.900391,25777.900391,263530000,3563
"166","2019","08","28",25712.990234,26041.570313,25637.429688,26036.099609,26036.099609,207070000,2430
"167","2019","08","29",26249.089844,26408.839844,26185.710938,26362.25,26362.25,208650000,2481
"168","2019","08","30",26476.390625,26514.619141,26295.589844,26403.279297,26403.279297,2190810000,4846
"169","2019","09","03",26198.259766,26198.259766,25978.220703,26118.019531,26118.019531,223210000,3966
"170","2019","09","04",26301.990234,26362.349609,26244.439453,26355.470703,26355.470703,202710000,1174
"171","2019","09","05",26603.150391,26836.300781,26603.150391,26728.150391,26728.150391,256670000,135
"172","2019","09","06",26790.25,26860.869141,26708.390625,26797.460938,26797.460938,209700000,565
"173","2019","09","09",26866.230469,26900.830078,26762.179688,26835.509766,26835.509766,273120000,2996
"174","2019","09","10",26805.830078,26909.429688,26717.050781,26909.429688,26909.429688,322340000,1880
"175","2019","09","11",26928.050781,27137.039063,26885.480469,27137.039063,27137.039063,272590000,3962
"176","2019","09","12",27197.320313,27306.730469,27105.009766,27182.449219,27182.449219,250010000,5124
"177","2019","09","13",27216.669922,27277.550781,27193.949219,27219.519531,27219.519531,255260000,2043
"178","2019","09","16",27146.060547,27172.869141,27032.560547,27076.820313,27076.820313,220620000,912
"179","2019","09","17",27010.119141,27110.800781,26984.140625,27110.800781,27110.800781,223580000,3819
"180","2019","09","18",27075.390625,27161.929688,26899.150391,27147.080078,27147.080078,212860000,3877
"181","2019","09","19",27186.050781,27272.169922,27064.210938,27094.789063,27094.789063,212360000,9896
"182","2019","09","20",27102.179688,27194.75,26926.679688,26935.070313,26935.070313,497640000,2500
"183","2019","09","23",26851.449219,27011.070313,26831.339844,26949.990234,26949.990234,204240000,1448
"184","2019","09","24",27034.070313,27079.679688,26704.960938,26807.769531,26807.769531,301750000,2385
"185","2019","09","25",26866.710938,27016.560547,26755.859375,26970.710938,26970.710938,237220000,865
"186","2019","09","26",27004.109375,27015.070313,26803.839844,26891.119141,26891.119141,229180000,2574
"187","2019","09","27",26987.259766,27012.539063,26715.820313,26820.25,26820.25,217780000,1374
"188","2019","09","30",26852.330078,26998.859375,26852.330078,26916.830078,26916.830078,222680000,1450
"189","2019","10","01",26962.539063,27046.210938,26562.220703,26573.039063,26573.039063,260110000,4997
"190","2019","10","02",26425.859375,26438.039063,25974.119141,26078.619141,26078.619141,309640000,2996
"191","2019","10","03",26039.019531,26205.199219,25743.460938,26201.039063,26201.039063,241610000,1528
"192","2019","10","04",26271.699219,26590.740234,26271.699219,26573.720703,26573.720703,221310000,1397
